CODCLI,REPRESENTACAO
62869,0.00325%
320180,0.00325%
20589,0.00325%
324918,0.00325%
32658,0.00325%
330917,0.00325%
11637,0.00325%
325360,0.00325%
269872,0.00325%
309464,0.00325%
318572,0.00325%
329285,0.00325%
319051,0.00325%
329764,0.00325%
58263,0.00325%
20923,0.00325%
318655,0.00325%
56262,0.00325%
21104,0.00325%
270342,0.00325%
327390,0.00325%
301394,0.00325%
57622,0.00325%
321086,0.00325%
19618,0.00325%
309407,0.00325%
64497,0.00325%
24771,0.00325%
270546,0.00325%
320092,0.00325%
17103,0.00325%
324463,0.00325%
321187,0.00325%
6843,0.00325%
327181,0.00325%
318085,0.00325%
331731,0.00325%
307610,0.00325%
318781,0.00325%
32768,0.00325%
12912,0.00325%
57432,0.00325%
267592,0.00325%
320663,0.00325%
327085,0.00325%
328654,0.00325%
331327,0.00325%
13574,0.00325%
63519,0.00325%
329268,0.00325%
32868,0.00325%
330302,0.00325%
312517,0.00325%
327566,0.00325%
301278,0.00325%
319229,0.00325%
320692,0.00325%
315371,0.00325%
312047,0.00325%
318777,0.00325%
24614,0.00325%
19027,0.00325%
17981,0.00325%
310502,0.00325%
302581,0.00325%
302798,0.00325%
325335,0.00325%
32643,0.00325%
61885,0.00325%
59465,0.00325%
311916,0.00325%
310778,0.00325%
302760,0.00325%
17834,0.00325%
65215,0.00325%
16538,0.00325%
14129,0.00325%
14414,0.00325%
267938,0.00325%
20197,0.00325%
19235,0.00325%
327280,0.00325%
267138,0.00325%
15577,0.00325%
314201,0.00325%
56033,0.00325%
326150,0.00325%
63724,0.00325%
32965,0.00325%
21356,0.00325%
13897,0.00325%
331357,0.00325%
14316,0.00325%
317702,0.00325%
15561,0.00325%
326846,0.00325%
333054,0.00325%
308532,0.00325%
308411,0.00325%
310190,0.00325%
17646,0.00325%
318652,0.00325%
18227,0.00325%
322351,0.00325%
18271,0.00325%
332716,0.00325%
302335,0.00325%
324392,0.00325%
17979,0.00325%
17689,0.00325%
24923,0.00325%
327040,0.00325%
314103,0.00325%
18114,0.00325%
270123,0.00325%
324557,0.00325%
318291,0.00325%
17736,0.00325%
306419,0.00325%
330574,0.00325%
63647,0.00325%
13194,0.00325%
302031,0.00325%
21755,0.00325%
32647,0.00325%
12569,0.00325%
18291,0.00325%
308157,0.00325%
61887,0.00325%
317436,0.00325%
330891,0.00325%
33710,0.00325%
333000,0.00325%
301284,0.00325%
332581,0.00325%
327750,0.00325%
63463,0.00325%
309755,0.00325%
328119,0.00325%
307143,0.00325%
271332,0.00325%
325520,0.00325%
312751,0.00325%
318027,0.00325%
309396,0.00325%
318802,0.00325%
329687,0.00325%
316729,0.00325%
271188,0.00325%
323911,0.00325%
327702,0.00325%
33176,0.00325%
324724,0.00325%
306951,0.00325%
19436,0.00325%
17471,0.00325%
301408,0.00325%
63220,0.00325%
324451,0.00325%
329649,0.00325%
329299,0.00325%
324437,0.00325%
317939,0.00325%
330837,0.00325%
324006,0.00325%
309572,0.00325%
266543,0.00325%
319944,0.00325%
58207,0.00325%
318028,0.00325%
270260,0.00325%
26278,0.00325%
325685,0.00325%
24739,0.00325%
55994,0.00325%
329894,0.00325%
22732,0.00325%
314061,0.00325%
329990,0.00325%
64915,0.00325%
325310,0.00325%
415,0.00325%
306865,0.00325%
324084,0.00325%
22359,0.00325%
311971,0.00325%
24750,0.00325%
21879,0.00325%
329055,0.00325%
61873,0.00325%
267449,0.00325%
295301,0.00325%
308853,0.00325%
313186,0.00325%
313016,0.00325%
12216,0.00325%
62595,0.00325%
318564,0.00325%
18759,0.00325%
4128,0.00325%
328739,0.00325%
295249,0.00325%
328096,0.00325%
320630,0.00325%
15716,0.00325%
325546,0.00325%
324754,0.00325%
267665,0.00325%
16461,0.00325%
319566,0.00325%
320311,0.00325%
325780,0.00325%
316598,0.00325%
312904,0.00325%
270134,0.00325%
62799,0.00325%
267136,0.00325%
310458,0.00325%
310154,0.00325%
58402,0.00325%
328666,0.00325%
326276,0.00325%
330541,0.00325%
268421,0.00325%
319682,0.00325%
319774,0.00325%
316487,0.00325%
307103,0.00325%
327776,0.00325%
331042,0.00325%
325368,0.00325%
308381,0.00325%
19889,0.00325%
270826,0.00325%
55913,0.00325%
11634,0.00325%
320348,0.00325%
267059,0.00325%
329549,0.00325%
303353,0.00325%
55576,0.00325%
325119,0.00325%
310788,0.00325%
20159,0.00325%
60021,0.00325%
58305,0.00325%
320713,0.00325%
33699,0.00325%
324578,0.00325%
303263,0.00325%
15847,0.00325%
16353,0.00325%
302433,0.00325%
33572,0.00325%
324388,0.00325%
266632,0.00325%
25627,0.00325%
32841,0.00325%
317081,0.00325%
271272,0.00325%
55889,0.00325%
330066,0.00325%
305718,0.00325%
325539,0.00325%
302387,0.00325%
20201,0.00325%
310266,0.00325%
17796,0.00325%
14407,0.00325%
13275,0.00325%
332359,0.00325%
16405,0.00325%
318331,0.00325%
302289,0.00325%
315120,0.00325%
319073,0.00325%
62911,0.00325%
329673,0.00325%
20779,0.00325%
330451,0.00325%
329907,0.00310%
30498,0.00310%
21396,0.00310%
61693,0.00310%
267860,0.00310%
20,0.00310%
320905,0.00310%
17457,0.00310%
15718,0.00310%
270813,0.00310%
28736,0.00310%
318481,0.00310%
17918,0.00310%
317830,0.00310%
20134,0.00310%
324220,0.00310%
328761,0.00310%
32625,0.00310%
309604,0.00310%
15821,0.00310%
330670,0.00310%
325216,0.00310%
22041,0.00310%
317784,0.00310%
308479,0.00310%
22411,0.00310%
13421,0.00310%
25047,0.00310%
17942,0.00310%
305762,0.00310%
64211,0.00310%
306148,0.00310%
317044,0.00310%
319203,0.00310%
24592,0.00310%
302338,0.00310%
307653,0.00310%
267872,0.00310%
307462,0.00310%
326747,0.00310%
328592,0.00310%
17429,0.00310%
325736,0.00310%
28668,0.00310%
332746,0.00310%
2640,0.00310%
55597,0.00310%
270556,0.00310%
22245,0.00310%
331075,0.00310%
14446,0.00310%
269992,0.00310%
309641,0.00310%
64089,0.00310%
301131,0.00310%
19489,0.00310%
306797,0.00310%
32759,0.00310%
316894,0.00310%
318152,0.00310%
12935,0.00310%
316765,0.00310%
309566,0.00310%
14161,0.00310%
305874,0.00310%
325536,0.00310%
267648,0.00310%
25781,0.00310%
326161,0.00310%
325548,0.00310%
327120,0.00310%
295131,0.00310%
320701,0.00310%
269876,0.00310%
55563,0.00310%
270539,0.00310%
320444,0.00310%
63242,0.00310%
20498,0.00310%
316563,0.00310%
268383,0.00310%
324548,0.00310%
319063,0.00310%
319085,0.00310%
319770,0.00310%
32873,0.00310%
17323,0.00310%
324478,0.00310%
61963,0.00310%
326386,0.00310%
329137,0.00310%
266549,0.00310%
326077,0.00310%
306172,0.00310%
316579,0.00310%
331821,0.00310%
19352,0.00310%
316979,0.00310%
307115,0.00310%
269658,0.00310%
302016,0.00310%
323802,0.00310%
329205,0.00310%
309004,0.00310%
14237,0.00310%
21089,0.00310%
63367,0.00310%
312916,0.00310%
21946,0.00310%
19158,0.00310%
26157,0.00310%
13359,0.00310%
307118,0.00310%
24670,0.00310%
314138,0.00310%
319635,0.00310%
64825,0.00310%
320076,0.00310%
313009,0.00310%
2854,0.00310%
55531,0.00310%
328370,0.00310%
19551,0.00310%
17711,0.00310%
33052,0.00310%
61555,0.00310%
327490,0.00310%
59368,0.00310%
17588,0.00310%
319208,0.00310%
65349,0.00310%
326318,0.00310%
324125,0.00310%
327892,0.00310%
266847,0.00310%
311994,0.00310%
321090,0.00310%
16321,0.00310%
328890,0.00310%
271648,0.00310%
32781,0.00310%
329833,0.00310%
271587,0.00310%
268006,0.00310%
325022,0.00310%
20173,0.00310%
7312,0.00310%
305969,0.00310%
64444,0.00310%
313375,0.00310%
270453,0.00310%
64306,0.00310%
21868,0.00310%
267971,0.00310%
330715,0.00310%
311992,0.00310%
266668,0.00310%
56130,0.00310%
63672,0.00310%
327262,0.00310%
321251,0.00310%
62948,0.00310%
17320,0.00310%
310275,0.00310%
320394,0.00310%
295150,0.00310%
332727,0.00310%
314249,0.00310%
307885,0.00310%
13584,0.00310%
19793,0.00310%
303338,0.00310%
268003,0.00310%
307473,0.00310%
62521,0.00310%
318985,0.00310%
267839,0.00310%
56242,0.00310%
268267,0.00310%
301823,0.00310%
302356,0.00310%
329640,0.00310%
314947,0.00310%
22295,0.00310%
14597,0.00310%
24738,0.00310%
312207,0.00310%
21533,0.00310%
329951,0.00310%
266573,0.00310%
315002,0.00310%
55641,0.00310%
324908,0.00310%
61431,0.00310%
19976,0.00310%
267068,0.00310%
331133,0.00310%
310152,0.00310%
323614,0.00310%
271316,0.00310%
318329,0.00310%
14077,0.00310%
318247,0.00310%
326847,0.00310%
14305,0.00310%
319269,0.00310%
309211,0.00310%
301855,0.00310%
305393,0.00310%
329126,0.00310%
307787,0.00310%
320693,0.00310%
268007,0.00310%
313146,0.00310%
267540,0.00310%
314389,0.00310%
320061,0.00310%
331916,0.00310%
19264,0.00310%
33509,0.00310%
271255,0.00310%
317685,0.00310%
20417,0.00310%
13414,0.00310%
64210,0.00310%
545,0.00310%
64422,0.00310%
268111,0.00310%
310535,0.00310%
270601,0.00310%
7263,0.00310%
318584,0.00310%
330836,0.00310%
324449,0.00310%
14393,0.00310%
25597,0.00310%
18333,0.00310%
326940,0.00310%
63240,0.00310%
62517,0.00310%
331809,0.00310%
325862,0.00310%
22403,0.00310%
329469,0.00310%
22232,0.00310%
301746,0.00310%
324976,0.00310%
318884,0.00310%
328595,0.00310%
324206,0.00310%
324444,0.00310%
3469,0.00310%
33507,0.00310%
327578,0.00310%
331264,0.00310%
313204,0.00310%
318239,0.00310%
63315,0.00310%
314433,0.00310%
320328,0.00310%
319141,0.00310%
324939,0.00310%
313459,0.00310%
321151,0.00310%
268290,0.00310%
16623,0.00310%
316500,0.00310%
16018,0.00310%
323751,0.00310%
325224,0.00310%
268280,0.00310%
319645,0.00310%
319279,0.00310%
22686,0.00310%
317772,0.00310%
326395,0.00310%
330661,0.00310%
333748,0.00310%
16539,0.00310%
324756,0.00310%
59687,0.00310%
309599,0.00310%
266957,0.00310%
33816,0.00310%
326737,0.00310%
309611,0.00310%
330643,0.00310%
319213,0.00310%
63650,0.00310%
17025,0.00310%
308859,0.00310%
329745,0.00310%
324151,0.00310%
2418,0.00310%
320285,0.00310%
17218,0.00310%
312959,0.00310%
320145,0.00310%
317410,0.00310%
327438,0.00310%
326942,0.00310%
323805,0.00310%
19986,0.00310%
325201,0.00310%
319797,0.00310%
313658,0.00310%
13241,0.00310%
331353,0.00310%
267041,0.00310%
301703,0.00310%
319391,0.00310%
271321,0.00310%
325991,0.00310%
22073,0.00310%
325372,0.00310%
307150,0.00310%
267779,0.00310%
327257,0.00310%
329782,0.00310%
326197,0.00310%
333082,0.00310%
308006,0.00310%
22408,0.00310%
329768,0.00310%
13353,0.00310%
269574,0.00310%
61413,0.00310%
330861,0.00310%
317329,0.00310%
330719,0.00310%
320392,0.00310%
270950,0.00310%
301930,0.00310%
309993,0.00310%
331868,0.00310%
26177,0.00310%
325007,0.00310%
32503,0.00310%
17959,0.00310%
329431,0.00310%
329836,0.00310%
302747,0.00310%
317844,0.00310%
306428,0.00310%
25529,0.00310%
63012,0.00310%
326041,0.00310%
318018,0.00310%
310076,0.00310%
306474,0.00310%
270893,0.00310%
63074,0.00310%
57407,0.00294%
316432,0.00294%
332989,0.00294%
315531,0.00294%
327598,0.00294%
331134,0.00294%
17448,0.00294%
13390,0.00294%
302558,0.00294%
65106,0.00294%
15677,0.00294%
327365,0.00294%
303320,0.00294%
17873,0.00294%
13033,0.00294%
330395,0.00294%
333012,0.00294%
309691,0.00294%
306366,0.00294%
62796,0.00294%
318643,0.00294%
319780,0.00294%
320789,0.00294%
18253,0.00294%
64169,0.00294%
324927,0.00294%
321300,0.00294%
318586,0.00294%
326537,0.00294%
2869,0.00294%
22095,0.00294%
327594,0.00294%
271467,0.00294%
328392,0.00294%
309618,0.00294%
317567,0.00294%
307079,0.00294%
58539,0.00294%
306339,0.00294%
325177,0.00294%
19560,0.00294%
16340,0.00294%
17795,0.00294%
323827,0.00294%
16263,0.00294%
324154,0.00294%
61803,0.00294%
58308,0.00294%
20830,0.00294%
318995,0.00294%
327746,0.00294%
270103,0.00294%
25688,0.00294%
3127,0.00294%
59359,0.00294%
21321,0.00294%
25212,0.00294%
21670,0.00294%
28555,0.00294%
325812,0.00294%
20514,0.00294%
306373,0.00294%
55951,0.00294%
21894,0.00294%
325398,0.00294%
64154,0.00294%
25030,0.00294%
15611,0.00294%
310483,0.00294%
307458,0.00294%
14009,0.00294%
328944,0.00294%
57393,0.00294%
301208,0.00294%
318838,0.00294%
309985,0.00294%
323934,0.00294%
305989,0.00294%
62164,0.00294%
61925,0.00294%
19464,0.00294%
270358,0.00294%
324063,0.00294%
64663,0.00294%
318635,0.00294%
325603,0.00294%
58142,0.00294%
320838,0.00294%
315277,0.00294%
12760,0.00294%
22478,0.00294%
13402,0.00294%
270163,0.00294%
59451,0.00294%
302142,0.00294%
319019,0.00294%
329797,0.00294%
306732,0.00294%
320188,0.00294%
312605,0.00294%
309091,0.00294%
317387,0.00294%
306320,0.00294%
313507,0.00294%
312218,0.00294%
19625,0.00294%
318565,0.00294%
324984,0.00294%
332490,0.00294%
521,0.00294%
19992,0.00294%
269475,0.00294%
319915,0.00294%
326217,0.00294%
30487,0.00294%
330506,0.00294%
330282,0.00294%
331299,0.00294%
327010,0.00294%
20411,0.00294%
270997,0.00294%
65241,0.00294%
20307,0.00294%
28640,0.00294%
18906,0.00294%
33874,0.00294%
317707,0.00294%
62976,0.00294%
267825,0.00294%
270005,0.00294%
63693,0.00294%
62503,0.00294%
310561,0.00294%
326725,0.00294%
58268,0.00294%
271148,0.00294%
17385,0.00294%
59440,0.00294%
324100,0.00294%
57456,0.00294%
332058,0.00294%
267622,0.00294%
301889,0.00294%
16432,0.00294%
13951,0.00294%
14588,0.00294%
312972,0.00294%
18037,0.00294%
64708,0.00294%
329589,0.00294%
319219,0.00294%
270992,0.00294%
268133,0.00294%
301272,0.00294%
321211,0.00294%
268521,0.00294%
18206,0.00294%
17972,0.00294%
323743,0.00294%
312891,0.00294%
22426,0.00294%
64888,0.00294%
329158,0.00294%
64083,0.00294%
267352,0.00294%
16733,0.00294%
328040,0.00294%
269438,0.00294%
21032,0.00294%
19112,0.00294%
62707,0.00294%
319008,0.00294%
267673,0.00294%
271589,0.00294%
319911,0.00294%
319831,0.00294%
320247,0.00294%
318074,0.00294%
307637,0.00294%
302458,0.00294%
325021,0.00294%
329446,0.00294%
64506,0.00294%
18378,0.00294%
312942,0.00294%
324790,0.00294%
18897,0.00294%
17537,0.00294%
270693,0.00294%
326995,0.00294%
65320,0.00294%
305219,0.00294%
307615,0.00294%
14257,0.00294%
321087,0.00294%
308335,0.00294%
306877,0.00294%
302754,0.00294%
62651,0.00294%
270054,0.00294%
58258,0.00294%
329,0.00294%
327507,0.00294%
62906,0.00294%
331103,0.00294%
63861,0.00294%
58213,0.00294%
302774,0.00294%
64098,0.00294%
308912,0.00294%
325735,0.00294%
14341,0.00294%
308840,0.00294%
25789,0.00294%
317438,0.00294%
33488,0.00294%
325795,0.00294%
308060,0.00294%
326949,0.00294%
13351,0.00294%
306222,0.00294%
271524,0.00294%
13336,0.00294%
318604,0.00294%
308363,0.00294%
318312,0.00294%
325093,0.00294%
305975,0.00294%
309801,0.00294%
59564,0.00294%
323888,0.00294%
321002,0.00294%
317489,0.00294%
312357,0.00294%
328042,0.00294%
301794,0.00294%
318751,0.00294%
320834,0.00294%
324263,0.00294%
325730,0.00294%
327247,0.00294%
22049,0.00294%
303290,0.00294%
25091,0.00294%
328281,0.00294%
319862,0.00294%
323121,0.00294%
267738,0.00294%
19957,0.00294%
325832,0.00294%
319293,0.00294%
33503,0.00294%
271513,0.00294%
325602,0.00294%
324183,0.00294%
314709,0.00294%
332145,0.00294%
270496,0.00294%
268043,0.00294%
64191,0.00294%
308948,0.00294%
314037,0.00294%
305645,0.00294%
321011,0.00294%
317856,0.00294%
320666,0.00294%
314141,0.00294%
18747,0.00294%
3290,0.00294%
266793,0.00294%
13369,0.00294%
313664,0.00294%
271217,0.00294%
3719,0.00294%
307220,0.00294%
270248,0.00294%
302611,0.00294%
58209,0.00294%
58115,0.00294%
317492,0.00294%
61834,0.00294%
57797,0.00294%
13789,0.00294%
324422,0.00294%
316865,0.00294%
16061,0.00294%
58261,0.00294%
309581,0.00294%
317656,0.00294%
320766,0.00294%
310200,0.00294%
327642,0.00294%
325109,0.00294%
14089,0.00294%
319613,0.00294%
24871,0.00294%
329374,0.00294%
301316,0.00294%
324244,0.00294%
310043,0.00294%
328344,0.00294%
328693,0.00294%
25804,0.00294%
328060,0.00294%
308067,0.00294%
32622,0.00294%
302793,0.00294%
324357,0.00294%
319420,0.00294%
320421,0.00294%
16911,0.00294%
325099,0.00294%
321200,0.00294%
328137,0.00294%
329568,0.00294%
59739,0.00294%
62171,0.00294%
320787,0.00294%
310749,0.00294%
25320,0.00294%
320668,0.00294%
329304,0.00294%
329378,0.00294%
324023,0.00294%
310283,0.00294%
267591,0.00294%
327093,0.00294%
22771,0.00294%
309580,0.00294%
14022,0.00294%
13640,0.00294%
326336,0.00294%
175,0.00294%
308054,0.00294%
22391,0.00294%
268117,0.00294%
57620,0.00294%
13829,0.00294%
16172,0.00294%
26187,0.00294%
267538,0.00294%
13872,0.00294%
62652,0.00294%
16607,0.00294%
308240,0.00294%
312320,0.00294%
17940,0.00294%
313476,0.00294%
266861,0.00294%
20237,0.00294%
326936,0.00294%
330648,0.00294%
318180,0.00294%
323571,0.00294%
315055,0.00294%
312262,0.00294%
65064,0.00294%
320463,0.00294%
17649,0.00294%
271664,0.00294%
15667,0.00294%
322065,0.00294%
326786,0.00294%
26280,0.00294%
330170,0.00294%
325864,0.00294%
324818,0.00294%
318490,0.00294%
330768,0.00294%
21211,0.00294%
58559,0.00294%
301593,0.00294%
312162,0.00294%
330269,0.00294%
314451,0.00294%
331006,0.00294%
25968,0.00294%
309070,0.00294%
316652,0.00294%
28525,0.00294%
308559,0.00294%
24492,0.00294%
327736,0.00294%
19663,0.00294%
3450,0.00294%
62939,0.00294%
32666,0.00294%
328783,0.00294%
270965,0.00294%
320270,0.00294%
295181,0.00294%
310781,0.00294%
327672,0.00294%
321330,0.00294%
323904,0.00294%
316679,0.00279%
267925,0.00279%
312623,0.00279%
422,0.00279%
309003,0.00279%
58535,0.00279%
21618,0.00279%
58125,0.00279%
19333,0.00279%
19873,0.00279%
62031,0.00279%
312390,0.00279%
21105,0.00279%
56308,0.00279%
20245,0.00279%
301337,0.00279%
329415,0.00279%
58019,0.00279%
302038,0.00279%
25076,0.00279%
58068,0.00279%
26031,0.00279%
314541,0.00279%
24686,0.00279%
319162,0.00279%
62589,0.00279%
329122,0.00279%
18080,0.00279%
319745,0.00279%
63771,0.00279%
13920,0.00279%
308407,0.00279%
61666,0.00279%
266640,0.00279%
319111,0.00279%
327196,0.00279%
329881,0.00279%
22750,0.00279%
25011,0.00279%
309108,0.00279%
332322,0.00279%
321148,0.00279%
314969,0.00279%
321052,0.00279%
316901,0.00279%
267878,0.00279%
325356,0.00279%
324815,0.00279%
318937,0.00279%
21586,0.00279%
321254,0.00279%
317930,0.00279%
305788,0.00279%
326970,0.00279%
19232,0.00279%
323643,0.00279%
25336,0.00279%
57773,0.00279%
306921,0.00279%
270418,0.00279%
320575,0.00279%
58480,0.00279%
148,0.00279%
58078,0.00279%
22011,0.00279%
307802,0.00279%
55427,0.00279%
331452,0.00279%
317033,0.00279%
32508,0.00279%
17719,0.00279%
270987,0.00279%
329267,0.00279%
313604,0.00279%
57900,0.00279%
62655,0.00279%
320886,0.00279%
327571,0.00279%
59817,0.00279%
270818,0.00279%
21825,0.00279%
327304,0.00279%
329551,0.00279%
332101,0.00279%
318186,0.00279%
56302,0.00279%
13568,0.00279%
333801,0.00279%
32424,0.00279%
55818,0.00279%
325180,0.00279%
21854,0.00279%
306657,0.00279%
61441,0.00279%
19194,0.00279%
307693,0.00279%
14122,0.00279%
271007,0.00279%
33753,0.00279%
311914,0.00279%
22534,0.00279%
64736,0.00279%
55882,0.00279%
306586,0.00279%
16859,0.00279%
327493,0.00279%
267254,0.00279%
32778,0.00279%
318981,0.00279%
58250,0.00279%
314353,0.00279%
17582,0.00279%
305564,0.00279%
16529,0.00279%
327766,0.00279%
319483,0.00279%
307121,0.00279%
16495,0.00279%
25612,0.00279%
305358,0.00279%
58242,0.00279%
21008,0.00279%
325376,0.00279%
3731,0.00279%
325554,0.00279%
32798,0.00279%
302671,0.00279%
308678,0.00279%
4034,0.00279%
267638,0.00279%
323964,0.00279%
15921,0.00279%
332548,0.00279%
19032,0.00279%
20290,0.00279%
16545,0.00279%
270352,0.00279%
13746,0.00279%
307172,0.00279%
18993,0.00279%
308814,0.00279%
14025,0.00279%
301749,0.00279%
19381,0.00279%
57602,0.00279%
13249,0.00279%
324642,0.00279%
65098,0.00279%
305631,0.00279%
24600,0.00279%
327793,0.00279%
314226,0.00279%
309955,0.00279%
24962,0.00279%
59407,0.00279%
320307,0.00279%
306090,0.00279%
332573,0.00279%
326650,0.00279%
270424,0.00279%
324686,0.00279%
326623,0.00279%
320518,0.00279%
21808,0.00279%
308032,0.00279%
310584,0.00279%
19223,0.00279%
55411,0.00279%
301607,0.00279%
302805,0.00279%
328784,0.00279%
270885,0.00279%
325728,0.00279%
28500,0.00279%
309349,0.00279%
271421,0.00279%
302520,0.00279%
321067,0.00279%
327281,0.00279%
18800,0.00279%
26105,0.00279%
318406,0.00279%
269530,0.00279%
319861,0.00279%
330572,0.00279%
59794,0.00279%
266372,0.00279%
58095,0.00279%
329130,0.00279%
20820,0.00279%
20715,0.00279%
328411,0.00279%
330568,0.00279%
12140,0.00279%
309702,0.00279%
15605,0.00279%
268223,0.00279%
331574,0.00279%
13572,0.00279%
329107,0.00279%
330707,0.00279%
319525,0.00279%
320884,0.00279%
17765,0.00279%
20450,0.00279%
317962,0.00279%
319265,0.00279%
295165,0.00279%
319316,0.00279%
21158,0.00279%
320600,0.00279%
330261,0.00279%
62153,0.00279%
16192,0.00279%
319329,0.00279%
64014,0.00279%
306946,0.00279%
319138,0.00279%
325596,0.00279%
59366,0.00279%
59483,0.00279%
324543,0.00279%
18848,0.00279%
4100,0.00279%
13305,0.00279%
17584,0.00279%
17799,0.00279%
57979,0.00279%
331614,0.00279%
14456,0.00279%
326557,0.00279%
330954,0.00279%
330904,0.00279%
2871,0.00279%
21540,0.00279%
328501,0.00279%
327211,0.00279%
12732,0.00279%
328586,0.00279%
64931,0.00279%
310135,0.00279%
26242,0.00279%
330663,0.00279%
324031,0.00279%
318316,0.00279%
319660,0.00279%
309123,0.00279%
267821,0.00279%
318394,0.00279%
318275,0.00279%
269618,0.00279%
25798,0.00279%
315929,0.00279%
314765,0.00279%
16628,0.00279%
24802,0.00279%
318164,0.00279%
318279,0.00279%
324723,0.00279%
302278,0.00279%
329636,0.00279%
317923,0.00279%
318474,0.00279%
16376,0.00279%
271075,0.00279%
302471,0.00279%
271243,0.00279%
320153,0.00279%
319981,0.00279%
320850,0.00279%
64696,0.00279%
320472,0.00279%
269577,0.00279%
22547,0.00279%
308892,0.00279%
25712,0.00279%
33570,0.00279%
271089,0.00279%
295221,0.00279%
321079,0.00279%
64867,0.00279%
26068,0.00279%
330108,0.00279%
22708,0.00279%
331875,0.00279%
271490,0.00279%
19469,0.00279%
28562,0.00279%
327258,0.00279%
327669,0.00279%
318126,0.00279%
22161,0.00279%
332240,0.00279%
324697,0.00279%
21827,0.00279%
308464,0.00279%
62704,0.00279%
325569,0.00279%
328517,0.00279%
330476,0.00279%
317587,0.00279%
314264,0.00279%
14375,0.00279%
315168,0.00279%
302906,0.00279%
327446,0.00279%
328773,0.00279%
331510,0.00279%
33563,0.00279%
326037,0.00279%
270161,0.00279%
311880,0.00279%
309532,0.00279%
20095,0.00279%
12759,0.00279%
312664,0.00279%
323776,0.00279%
323886,0.00279%
329420,0.00279%
327586,0.00279%
62714,0.00279%
326822,0.00279%
21107,0.00279%
266402,0.00279%
46,0.00279%
305533,0.00279%
270759,0.00279%
319859,0.00279%
14465,0.00279%
326259,0.00279%
314858,0.00279%
334159,0.00279%
61581,0.00279%
331660,0.00279%
64061,0.00279%
308425,0.00279%
302463,0.00279%
14451,0.00279%
318024,0.00279%
328435,0.00279%
20594,0.00279%
268285,0.00279%
18497,0.00279%
319657,0.00279%
331749,0.00279%
268227,0.00279%
317779,0.00279%
266867,0.00279%
21390,0.00279%
320100,0.00279%
302737,0.00279%
329203,0.00279%
24616,0.00279%
269571,0.00279%
321054,0.00279%
22722,0.00279%
331655,0.00279%
13306,0.00279%
332306,0.00279%
317289,0.00279%
33681,0.00279%
315969,0.00279%
324626,0.00279%
269734,0.00279%
318497,0.00279%
319816,0.00279%
13448,0.00279%
329312,0.00279%
332841,0.00279%
325984,0.00279%
332454,0.00279%
266964,0.00279%
306376,0.00279%
318773,0.00263%
21149,0.00263%
329521,0.00263%
322970,0.00263%
306472,0.00263%
13697,0.00263%
306852,0.00263%
57445,0.00263%
305376,0.00263%
321217,0.00263%
20096,0.00263%
309260,0.00263%
22538,0.00263%
25148,0.00263%
28425,0.00263%
56224,0.00263%
325882,0.00263%
57683,0.00263%
313814,0.00263%
325876,0.00263%
302631,0.00263%
62211,0.00263%
317340,0.00263%
268324,0.00263%
302727,0.00263%
19913,0.00263%
331197,0.00263%
59457,0.00263%
324304,0.00263%
16825,0.00263%
268319,0.00263%
328835,0.00263%
331064,0.00263%
318282,0.00263%
325992,0.00263%
327397,0.00263%
19684,0.00263%
58316,0.00263%
332831,0.00263%
330569,0.00263%
315191,0.00263%
22810,0.00263%
313585,0.00263%
305630,0.00263%
64754,0.00263%
21144,0.00263%
319748,0.00263%
267926,0.00263%
59521,0.00263%
13919,0.00263%
306200,0.00263%
18315,0.00263%
20067,0.00263%
12225,0.00263%
271445,0.00263%
57500,0.00263%
306932,0.00263%
314980,0.00263%
318775,0.00263%
270372,0.00263%
55751,0.00263%
267947,0.00263%
302772,0.00263%
17585,0.00263%
318589,0.00263%
18182,0.00263%
24569,0.00263%
320988,0.00263%
320717,0.00263%
266687,0.00263%
17065,0.00263%
331728,0.00263%
306765,0.00263%
33544,0.00263%
62551,0.00263%
33489,0.00263%
318208,0.00263%
309561,0.00263%
18064,0.00263%
65100,0.00263%
325843,0.00263%
13254,0.00263%
328941,0.00263%
15836,0.00263%
32548,0.00263%
63101,0.00263%
362,0.00263%
316455,0.00263%
306656,0.00263%
330894,0.00263%
318246,0.00263%
312856,0.00263%
319628,0.00263%
270033,0.00263%
16136,0.00263%
315386,0.00263%
320173,0.00263%
309575,0.00263%
327794,0.00263%
59740,0.00263%
302161,0.00263%
11933,0.00263%
65322,0.00263%
321172,0.00263%
313745,0.00263%
324751,0.00263%
2405,0.00263%
14187,0.00263%
318466,0.00263%
63436,0.00263%
317232,0.00263%
302001,0.00263%
63056,0.00263%
327166,0.00263%
314932,0.00263%
314626,0.00263%
20702,0.00263%
323569,0.00263%
315479,0.00263%
323657,0.00263%
62821,0.00263%
329707,0.00263%
26062,0.00263%
302674,0.00263%
307469,0.00263%
317421,0.00263%
267528,0.00263%
317454,0.00263%
270969,0.00263%
21435,0.00263%
302696,0.00263%
14030,0.00263%
306082,0.00263%
14509,0.00263%
266769,0.00263%
325662,0.00263%
57714,0.00263%
318001,0.00263%
21641,0.00263%
65227,0.00263%
312269,0.00263%
301936,0.00263%
269956,0.00263%
61869,0.00263%
267608,0.00263%
305521,0.00263%
324851,0.00263%
59867,0.00263%
57684,0.00263%
62356,0.00263%
317124,0.00263%
316955,0.00263%
267278,0.00263%
7344,0.00263%
