CODCLI,REPRESENTACAO
318276,0.04939%
57801,0.04939%
314985,0.04939%
17313,0.04924%
318684,0.04893%
19682,0.04862%
13166,0.04800%
318143,0.04785%
271610,0.04785%
19614,0.04707%
58493,0.04661%
271651,0.04661%
14416,0.04645%
558,0.04630%
12515,0.04614%
57885,0.04614%
2761,0.04599%
28448,0.04583%
320080,0.04583%
14003,0.04552%
267390,0.04552%
17407,0.04537%
15674,0.04521%
302732,0.04506%
20256,0.04490%
57468,0.04490%
269774,0.04459%
16104,0.04459%
16374,0.04428%
14113,0.04382%
25093,0.04367%
270811,0.04351%
153,0.04305%
3589,0.04305%
18655,0.04258%
63278,0.04212%
301710,0.04212%
328615,0.04196%
33705,0.04181%
308087,0.04150%
295269,0.04134%
317267,0.04119%
267476,0.04103%
33293,0.04041%
317775,0.04041%
61950,0.04041%
64302,0.04026%
267769,0.04026%
267636,0.03995%
15696,0.03979%
33065,0.03964%
33107,0.03948%
28639,0.03948%
14526,0.03933%
63802,0.03933%
317793,0.03902%
15576,0.03902%
17317,0.03887%
270186,0.03856%
18428,0.03856%
16092,0.03856%
55900,0.03840%
324651,0.03840%
32799,0.03840%
17189,0.03809%
317776,0.03794%
20933,0.03794%
326677,0.03794%
14093,0.03778%
314357,0.03763%
266429,0.03732%
317848,0.03716%
17594,0.03701%
62623,0.03701%
327024,0.03701%
20961,0.03685%
313929,0.03685%
25870,0.03670%
32811,0.03670%
17548,0.03670%
16135,0.03670%
64808,0.03670%
13445,0.03670%
320677,0.03654%
18820,0.03639%
16804,0.03608%
315917,0.03592%
58283,0.03592%
13460,0.03577%
317116,0.03577%
20234,0.03577%
305832,0.03561%
270495,0.03561%
13606,0.03546%
20631,0.03530%
17554,0.03499%
63639,0.03499%
318036,0.03468%
7221,0.03468%
317901,0.03453%
313628,0.03453%
19,0.03453%
295139,0.03453%
3238,0.03437%
12520,0.03437%
26160,0.03406%
33430,0.03406%
16519,0.03391%
318632,0.03391%
301691,0.03391%
14296,0.03391%
324674,0.03391%
20792,0.03391%
15734,0.03376%
306008,0.03376%
21949,0.03376%
19751,0.03360%
26320,0.03345%
14440,0.03345%
305602,0.03329%
18251,0.03329%
328661,0.03329%
18585,0.03283%
22120,0.03283%
22284,0.03267%
318747,0.03252%
15812,0.03252%
14307,0.03252%
14493,0.03252%
57719,0.03252%
306708,0.03236%
312867,0.03236%
22048,0.03221%
307963,0.03221%
13559,0.03221%
58293,0.03221%
14490,0.03205%
267739,0.03205%
18572,0.03205%
15930,0.03190%
16275,0.03190%
16826,0.03190%
21980,0.03190%
270999,0.03190%
61454,0.03174%
374,0.03174%
3529,0.03174%
16347,0.03174%
12750,0.03174%
18808,0.03159%
327508,0.03143%
310127,0.03143%
326759,0.03143%
267894,0.03128%
12437,0.03128%
317792,0.03112%
318351,0.03112%
310405,0.03112%
319895,0.03112%
441,0.03097%
323836,0.03081%
325779,0.03081%
13560,0.03081%
2578,0.03081%
16316,0.03081%
17892,0.03081%
3460,0.03081%
320424,0.03081%
314892,0.03066%
14521,0.03066%
15606,0.03066%
17376,0.03066%
7044,0.03050%
16186,0.03050%
12161,0.03035%
20600,0.03035%
55432,0.03019%
13278,0.03019%
16222,0.03019%
15578,0.03019%
302701,0.03019%
33513,0.03004%
61832,0.03004%
26159,0.03004%
318408,0.03004%
19300,0.02988%
13982,0.02988%
17089,0.02988%
268430,0.02988%
33017,0.02988%
326425,0.02988%
310357,0.02988%
13952,0.02973%
14496,0.02973%
61409,0.02973%
318551,0.02957%
327874,0.02957%
269754,0.02926%
301654,0.02926%
267149,0.02926%
18058,0.02911%
399,0.02911%
14104,0.02911%
317877,0.02911%
323792,0.02911%
16032,0.02896%
318463,0.02896%
59522,0.02896%
19786,0.02896%
13461,0.02896%
312558,0.02896%
317280,0.02880%
14056,0.02880%
270714,0.02880%
13778,0.02880%
61469,0.02880%
308384,0.02880%
16105,0.02880%
58170,0.02865%
6984,0.02865%
19960,0.02865%
270068,0.02849%
308750,0.02834%
17686,0.02834%
19005,0.02834%
17854,0.02834%
15892,0.02818%
318096,0.02818%
25050,0.02803%
270785,0.02803%
17484,0.02803%
16204,0.02803%
321134,0.02803%
269674,0.02787%
57413,0.02787%
6839,0.02787%
15845,0.02772%
3933,0.02772%
307102,0.02772%
13575,0.02772%
2500,0.02772%
319369,0.02756%
58058,0.02756%
19780,0.02741%
14014,0.02741%
19533,0.02741%
317299,0.02741%
313196,0.02741%
16849,0.02741%
310316,0.02725%
318561,0.02725%
17545,0.02710%
32567,0.02710%
12031,0.02710%
308837,0.02710%
306394,0.02710%
15950,0.02710%
9395,0.02710%
15597,0.02694%
17743,0.02694%
307891,0.02694%
326831,0.02694%
18612,0.02694%
309409,0.02679%
23,0.02679%
14061,0.02679%
13223,0.02663%
16141,0.02648%
58542,0.02648%
18588,0.02632%
16214,0.02632%
320282,0.02632%
16057,0.02617%
317293,0.02617%
16010,0.02617%
17071,0.02617%
320233,0.02601%
57687,0.02601%
55498,0.02601%
21750,0.02601%
305252,0.02601%
59896,0.02601%
57376,0.02601%
22014,0.02586%
15973,0.02586%
16743,0.02586%
307915,0.02586%
64775,0.02586%
331265,0.02586%
16384,0.02570%
21904,0.02570%
301955,0.02555%
319260,0.02555%
22647,0.02555%
7192,0.02555%
21244,0.02555%
305681,0.02555%
21970,0.02539%
16352,0.02539%
24668,0.02539%
3001,0.02539%
13458,0.02524%
316831,0.02524%
13263,0.02508%
268020,0.02508%
61448,0.02508%
58433,0.02508%
326621,0.02508%
267934,0.02493%
321207,0.02493%
318779,0.02493%
28472,0.02477%
21948,0.02477%
65012,0.02477%
317900,0.02477%
308752,0.02477%
12700,0.02462%
16167,0.02462%
19818,0.02446%
