CODCLI,CODPROD,EAN,PRODUTO,ESPECIE,PORTE,IDADE,DEPARTAMENTO,DT_VENDA,QT_VENDA
13873,53786,7896029052334,PETISCO PEDIGREE DENTASTIX STICK CUIDADO ORAL PARA CÃES ADULTOS RAÇAS PEQUENAS 110 G - 7 UNIDADES,CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,1
271067,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,8
61873,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
16299,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
11545,259544,7898510457604,RAÇÃO SECA HERCOSUL THREE DOGS PREMIUM ESPECIAL ORIGINAL PARA CÃES ADULTOS RAÇAS PEQUENAS E MINI 3 KG,CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,1
11545,259797,7898510457550,RAÇÃO SECA HERCOSUL THREE DOGS PREMIUM ESPECIAL ORIGINAL PARA CÃES ADULTOS RAÇAS MÉDIAS E GRANDES 3 KG,CÃES,MÉDIO|GRANDE,ADULTO,ALIMENTOS,00:00.0,1
11545,2099,7896029022269,RAÇÃO ÚMIDA PEDIGREE SACHÊ FRANGO AO MOLHO PARA CÃES ADULTOS RAÇAS PEQUENAS 100 G,CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,2
16299,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,259528,7898510457932,RAÇÃO SECA HERCOSUL THREE DOGS SUPER PREMIUM PARA CÃES ADULTOS RAÇAS PEQUENAS E MINI FRANGO E CENOURA 1 KG,CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,1
17911,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,2
1,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,2
25417,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
